epoch,train_loss,train_acc,quantization_error
0,0.3920517578125,0.8734999895095825,0.00011116611858597025
1,0.3499216015625,0.8771399855613708,0.00011637662100838497
2,0.38392328125,0.8651599884033203,0.00012027660704916343
3,0.4186271484375,0.8503199815750122,0.00012325038551352918
4,0.448664921875,0.8424400091171265,0.00012819559196941555
5,0.4782556640625,0.832319974899292,0.00013325089821591973
6,0.5043359375,0.8228800296783447,0.00013961685181129724
7,0.517680234375,0.8180000185966492,0.00014469510642811656
8,0.543298984375,0.8095200061798096,0.0001502534723840654
9,0.55807625,0.8054800033569336,0.00015699959476478398
10,0.570898046875,0.8008000254631042,0.0001637908717384562
11,0.570868359375,0.8027799725532532,0.00017098845273721963
12,0.5973959765625,0.7936999797821045,0.0001816016883822158
13,0.6024175,0.7923600077629089,0.00019023733329959214
14,0.605805390625,0.7918400168418884,0.0001946818665601313
15,0.60764484375,0.7897199988365173,0.0002027363225352019
16,0.6108094921875,0.7897599935531616,0.00021192124404478818
17,0.611293984375,0.7930600047111511,0.00021997159637976438
18,0.600402265625,0.7946000099182129,0.0002223120245616883
19,0.603819765625,0.7910000085830688,0.00023026128474157304
20,0.5904501953125,0.7970600128173828,0.0002322065265616402
21,0.5967116015625,0.7920200228691101,0.00024066559853963554
22,0.595452578125,0.7955399751663208,0.0002458062954246998
23,0.591422265625,0.7975199818611145,0.0002556926920078695
24,0.5876173046875,0.7969599962234497,0.000260402011917904
25,0.5793321875,0.7997199892997742,0.0002620744053274393
26,0.5851051171875,0.7993800044059753,0.00026443510432727635
27,0.5907808984375,0.7980200052261353,0.00027179898461326957
28,0.5899358984375,0.7966200113296509,0.000275578408036381
29,0.574488984375,0.8007400035858154,0.00027465916355140507
30,0.5877621875,0.7973399758338928,0.00028173380997031927
31,0.5723508203125,0.8019199967384338,0.0002869106538128108
32,0.5661487890625,0.8041399717330933,0.0002890077594202012
33,0.5719318359375,0.8004800081253052,0.00029231744701974094
34,0.5683234765625,0.8050000071525574,0.0002900482213590294
35,0.565106875,0.8053200244903564,0.0002917648816946894
36,0.5609445703125,0.8062800168991089,0.00029830625862814486
37,0.564464375,0.8054599761962891,0.0003011472290381789
38,0.575278125,0.8014799952507019,0.00030047603650018573
39,0.56994859375,0.8036999702453613,0.00030203984351828694
40,0.56674546875,0.8040599822998047,0.0002966522879432887
41,0.562136484375,0.804099977016449,0.000302841974189505
42,0.57734890625,0.8001000285148621,0.00030712917214259505
43,0.5652983984375,0.805620014667511,0.0003177983162458986
44,0.5659028125,0.8069800138473511,0.00031078499159775674
45,0.569375703125,0.8038600087165833,0.00031890030368231237
46,0.56829046875,0.8051599860191345,0.00031521441997028887
47,0.5779696875,0.8003399968147278,0.00033819072996266186
48,0.5699875,0.802079975605011,0.0003299685486126691
49,0.5652298046875,0.8047599792480469,0.0003277851501479745
50,0.5650559375,0.8062599897384644,0.00032704544719308615
51,0.567108203125,0.8033999800682068,0.00032762461341917515
52,0.561838046875,0.8054199814796448,0.0003291661269031465
53,0.562251328125,0.8049600124359131,0.00033414093195460737
54,0.564587265625,0.8053399920463562,0.0003398022672627121
55,0.5629465625,0.8055800199508667,0.0003446285263635218
56,0.563831875,0.8057199716567993,0.0003464858455117792
57,0.56223328125,0.8064000010490417,0.00035155066871084273
58,0.565313671875,0.8054400086402893,0.0003515089920256287
59,0.55448,0.8099600076675415,0.00035901012597605586
60,0.560656875,0.8089799880981445,0.00035567357554100454
61,0.562147421875,0.8045600056648254,0.00035251746885478497
62,0.562548828125,0.8055800199508667,0.000349270470906049
63,0.569173984375,0.8022199869155884,0.00035259503056295216
64,0.5659039453125,0.8052999973297119,0.00036006062873639166
65,0.55894515625,0.8062199950218201,0.00036418880335986614
66,0.55748453125,0.8077399730682373,0.00036076828837394714
67,0.556126640625,0.8066400289535522,0.0003707770665641874
68,0.5539864453125,0.8087400197982788,0.0003655398904811591
69,0.555820703125,0.8066400289535522,0.00037298674578778446
70,0.55247125,0.8066800236701965,0.0003799957048613578
71,0.561165390625,0.8054400086402893,0.0003787671448662877
72,0.5563498046875,0.8080999851226807,0.00037700848770327866
73,0.55734890625,0.8080599904060364,0.0003812460054177791
