epoch,train_loss,train_acc,quantization_error
0,0.153086357421875,0.9503,0.0038593239150941
1,0.1125434765625,0.961,0.0039688968099653
2,0.134001943359375,0.9528,0.0041369628161191
3,0.16091712890625,0.9434,0.0043323705904185
4,0.1736621875,0.9383,0.0045333397574722
5,0.19957671875,0.9296,0.0048048216849565
6,0.21447638671875,0.9241,0.0050216787494719
7,0.24075453125,0.9139,0.005428469274193
8,0.25333615234375,0.9113,0.0056968447752296
9,0.26081017578125,0.9091,0.006061315536499
10,0.26889736328125,0.9052,0.0063503771089017
11,0.28000478515625,0.9027,0.0066691911779344
12,0.28869099609375,0.898,0.0070835715159773
13,0.2923859375,0.8977,0.0074193193577229
14,0.2914050390625,0.898,0.007701285649091
15,0.3006634765625,0.8949,0.0080598248168826
16,0.30995373046875,0.8931,0.0083109391853213
17,0.29591662109375,0.8987,0.0085844788700342
18,0.3077883203125,0.8931,0.0088304318487644
19,0.2906130859375,0.8992,0.0089847799390554
20,0.29647576171875,0.8979,0.0091977333649992
21,0.2781322265625,0.9037,0.0092750107869505
22,0.27558755859375,0.9041,0.0094329947605729
23,0.2824828515625,0.9019,0.009497039951384
24,0.2708549609375,0.9056,0.0095511134713888
25,0.28071763671875,0.9031,0.0095262471586465
26,0.267800234375,0.9064,0.0096552157774567
27,0.2744301953125,0.9042,0.0097180400043725
28,0.2717114453125,0.9049,0.0097079081460833
29,0.27339462890625,0.9041,0.0097530828788876
30,0.26449875,0.907,0.0097942752763628
31,0.26428166015625,0.9077,0.0097819687798619
32,0.2657437109375,0.9076,0.0099276658147573
33,0.26814443359375,0.9062,0.0099391117691993
34,0.26149271484375,0.9102,0.0099008278921246
35,0.265492265625,0.9085,0.0099704805761575
36,0.266607734375,0.9073,0.0099145388230681
37,0.2668657421875,0.9081,0.0098712882027029
38,0.26647759765625,0.9077,0.0098826074972748
39,0.254295078125,0.9122,0.0098743243142962
40,0.259227421875,0.9102,0.0099695222452282
41,0.2556155078125,0.9113,0.0100017646327614
42,0.26027609375,0.9093,0.0099449045956134
43,0.2521481640625,0.9117,0.0099546015262603
44,0.26180298828125,0.9097,0.0100540863350033
45,0.25688177734375,0.9109,0.0098765445873141
