epoch,train_loss,train_acc,quantization_error
0,0.0079122003173828,0.9978,0.0002741256612353
1,0.0113859167480468,0.9963,0.0002757893234957
2,0.0256452099609375,0.991,0.0002767743135336
3,0.0531566015625,0.9815,0.0002783669915515
4,0.0739826806640625,0.9734,0.0002802404633257
5,0.087037255859375,0.9698,0.000283571658656
6,0.105638564453125,0.9627,0.0002897752274293
7,0.1208312109375,0.9574,0.000294144381769
8,0.139666416015625,0.9517,0.0003011064254678
9,0.1442973828125,0.9485,0.0003085352655034
10,0.161744345703125,0.9425,0.0003187229449395
11,0.17884443359375,0.9371,0.0003295542846899
12,0.19262115234375,0.9328,0.0003432209487073
13,0.1979007421875,0.9303,0.000354099436663
14,0.20476478515625,0.9286,0.0003683441609609
15,0.20627083984375,0.927,0.0003854308160953
16,0.21788455078125,0.9233,0.0004015619924757
17,0.205388203125,0.9284,0.0004100584192201
18,0.21101,0.9261,0.0004189377650618
19,0.200008046875,0.9296,0.0004261549911461
20,0.20417646484375,0.9288,0.0004350084927864
21,0.1896173046875,0.9343,0.0004393786075524
22,0.18284765625,0.9354,0.0004431569832377
23,0.1887509765625,0.9338,0.0004437109164427
24,0.1914309375,0.9324,0.0004517663037404
25,0.18554416015625,0.9358,0.0004565345006994
26,0.17778224609375,0.9374,0.0004537727509159
27,0.186257734375,0.9348,0.0004573683545459
28,0.18428837890625,0.9356,0.000462258933112
29,0.18292275390625,0.9365,0.000463340053102
30,0.1754778515625,0.9394,0.0004620654799509
31,0.177144765625,0.9382,0.0004653524374589
32,0.17254236328125,0.9394,0.0004678541154135
33,0.182082734375,0.9366,0.0004709349304903
34,0.16508017578125,0.9415,0.0004748529172502
35,0.1689180078125,0.9409,0.0004738504358101
36,0.178265234375,0.9378,0.0004764187324326
37,0.169822890625,0.9413,0.0004719786520581
38,0.1714604296875,0.9401,0.0004751423839479
39,0.17640958984375,0.9388,0.000478434638353
40,0.170785546875,0.9396,0.0004750872903969
41,0.17406005859375,0.9401,0.0004743462195619
42,0.174345859375,0.9387,0.0004772015381604
43,0.1714368359375,0.94,0.0004805788339581
44,0.176694921875,0.9382,0.0004776343994308
45,0.16874490234375,0.9405,0.0004795313288923
46,0.17433515625,0.9385,0.0004804953350685
47,0.175130234375,0.9396,0.0004776339337695
48,0.1716948046875,0.9401,0.0004816088767256
49,0.17209724609375,0.939,0.0004821267502848
50,0.1642306640625,0.9419,0.0004822925548069
51,0.1678521484375,0.9411,0.0004852005513384
52,0.163378046875,0.9428,0.0004826378717552
53,0.166380859375,0.9415,0.0004850010154768
54,0.1687087109375,0.9403,0.0004822337941732
55,0.166373828125,0.9413,0.0004834335122723
56,0.165866953125,0.9419,0.0004836300213355
57,0.160255,0.9433,0.0004852987185586
58,0.17536078125,0.939,0.000488483463414
59,0.160290771484375,0.9443,0.0004865791124757
60,0.16216212890625,0.9432,0.0004883925430476
61,0.161058271484375,0.9431,0.0004855509614571
62,0.16442404296875,0.9434,0.0004845283401664
63,0.16107650390625,0.9437,0.0004796907596755
64,0.158126953125,0.944,0.0004831493133679
65,0.1597060546875,0.9448,0.000480866379803
66,0.153355361328125,0.9465,0.0004811893159057
67,0.1655539453125,0.9424,0.0004830358666367
68,0.16881458984375,0.9406,0.0004824510833714
69,0.166131171875,0.9403,0.000485891214339
70,0.1647731640625,0.9432,0.000488051737193
71,0.1667498046875,0.9425,0.0004897969192825
72,0.15514654296875,0.9447,0.0004855736333411
73,0.15874875,0.9437,0.0004864418588113
74,0.16417859375,0.9417,0.0004875021695625
75,0.15892234375,0.9431,0.0004898520419374
76,0.15783884765625,0.945,0.000488197809318
