model,test_acc,quantization_error
full_precision,0.9149,0.0
ptq_lin_2,0.1062,0.00203784741461277
ptq_lin_3,0.7836,0.0005755237652920187
ptq_lin_4,0.8952,0.00015512650134041905
ptq_lin+_2,0.102,0.001963316695764661
ptq_lin+_3,0.736,0.0005286090890876949
ptq_lin+_4,0.882,0.00015329557936638594
ptq_po2_2,0.0952,0.029844898730516434
ptq_po2_3,0.7531,0.0009529739036224782
ptq_po2_4,0.8636,0.0003684406983666122
ptq_po2+_2,0.095,0.029841523617506027
ptq_po2+_3,0.774,0.0009237496415153146
ptq_po2+_4,0.875,0.00033744118991307914
qat_lin_2,0.9029,0.008646152930606742
qat_lin_3,0.923,0.0016159548657724305
qat_lin_4,0.9217,0.00038071434090204513
qat_lin+_2,0.8698,0.008195825606845723
qat_lin+_3,0.9211,0.001523064449074537
qat_lin+_4,0.9196,0.00039018215483799153
qat_po2_2,0.8862,0.07837933120204177
qat_po2_3,0.9163,0.0027116778017043847
qat_po2_4,0.9181,0.0007678714294054207
qat_po2+_2,0.8978,0.07730628188881201
qat_po2+_3,0.9175,0.002721252890939705
qat_po2+_4,0.9191,0.0007446110544927298
