model,test_acc,quantization_error
full_precision,0.926,0.0
ptq_lin_2,0.2667,0.0010892980499193072
ptq_lin_3,0.8037,0.00029106528381817043
ptq_lin_4,0.9117,7.827246736269444e-05
ptq_lin+_2,0.2255,0.0010282167932018638
ptq_lin+_3,0.7296,0.0002784747339319438
ptq_lin+_4,0.9064,7.92664141044952e-05
ptq_po2_2,0.1,0.017420027405023575
ptq_po2_3,0.8365,0.0005316808819770813
ptq_po2_4,0.8866,0.00017437856877222657
ptq_po2+_2,0.1,0.01741851679980755
ptq_po2+_3,0.8802,0.0005177372950129211
ptq_po2+_4,0.9085,0.00015940402226988226
qat_lin_2,0.9222,0.00845934697086123
qat_lin_3,0.9305,0.0016513279335368392
qat_lin_4,0.9321,0.0004172011737486938
qat_lin+_2,0.925,0.00804276198926718
qat_lin+_3,0.9308,0.0016021274290013026
qat_lin+_4,0.9316,0.0004274003255952872
qat_po2_2,0.917,0.09097923143062646
qat_po2_3,0.9315,0.0032066019939076466
qat_po2_4,0.929,0.000820004622233277
qat_po2+_2,0.9183,0.08474634047143338
qat_po2+_3,0.9295,0.003435511128528269
qat_po2+_4,0.932,0.0007920598039096378
