epoch,train_loss,train_acc,test_acc,quantization_error
0,0.0421988037109375,"tensor(0.9850, device='cuda:0')",0.0004733724344987422
1,0.05036482421875,"tensor(0.9818, device='cuda:0')",0.0004828543751500547
2,0.0864103515625,"tensor(0.9690, device='cuda:0')",0.0004925427492707968
3,0.112241015625,"tensor(0.9597, device='cuda:0')",0.0005040509859099984
4,0.13550720703125,"tensor(0.9516, device='cuda:0')",0.000514026905875653
5,0.159181708984375,"tensor(0.9429, device='cuda:0')",0.0005273459828458726
6,0.159967705078125,"tensor(0.9425, device='cuda:0')",0.0005371213192120194
7,0.18324171875,"tensor(0.9348, device='cuda:0')",0.0005531898932531476
8,0.20222755859375,"tensor(0.9285, device='cuda:0')",0.0005661575123667717
9,0.2096662109375,"tensor(0.9261, device='cuda:0')",0.0005786179681308568
10,0.22034537109375,"tensor(0.9214, device='cuda:0')",0.00059833301929757
11,0.22881787109375,"tensor(0.9189, device='cuda:0')",0.0006171861314214766
12,0.2395170703125,"tensor(0.9161, device='cuda:0')",0.0006352744530886412
13,0.24986701171875,"tensor(0.9111, device='cuda:0')",0.0006513517582789063
14,0.25336236328125,"tensor(0.9113, device='cuda:0')",0.0006784107536077499
15,0.253975859375,"tensor(0.9098, device='cuda:0')",0.0006986875087022781
16,0.26767357421875,"tensor(0.9053, device='cuda:0')",0.0007228136528283358
17,0.26048517578125,"tensor(0.9095, device='cuda:0')",0.0007387858349829912
18,0.249871640625,"tensor(0.9126, device='cuda:0')",0.0007492731092497706
19,0.2569175,"tensor(0.9105, device='cuda:0')",0.000760838738642633
20,0.24508267578125,"tensor(0.9141, device='cuda:0')",0.000769694393966347
21,0.24326791015625,"tensor(0.9155, device='cuda:0')",0.0007743578753434122
22,0.236991640625,"tensor(0.9170, device='cuda:0')",0.0007842725026421249
23,0.2447827734375,"tensor(0.9141, device='cuda:0')",0.0007933424785733223
24,0.24280064453125,"tensor(0.9145, device='cuda:0')",0.0007995412452146411
25,0.2363612109375,"tensor(0.9163, device='cuda:0')",0.0008001995738595724
26,0.2323081640625,"tensor(0.9187, device='cuda:0')",0.0008045209106057882
27,0.2402562109375,"tensor(0.9153, device='cuda:0')",0.0008041131659410894
28,0.2272883984375,"tensor(0.9196, device='cuda:0')",0.0008075584191828966
29,0.2319096875,"tensor(0.9186, device='cuda:0')",0.0008118128753267229
30,0.231749609375,"tensor(0.9189, device='cuda:0')",0.0008185284095816314
31,0.22722375,"tensor(0.9201, device='cuda:0')",0.0008199929725378752
32,0.22475390625,"tensor(0.9208, device='cuda:0')",0.0008207375067286193
