model,test_acc
full_precision,0.9062
ptq_lin_2,0.0929
ptq_lin_3,0.5
ptq_lin_4,0.8476
ptq_lin+_2,0.1211
ptq_lin+_3,0.4822
ptq_lin+_4,0.7838
ptq_po2_2,0.1
ptq_po2_3,0.4045
ptq_po2_4,0.7022
ptq_po2+_2,0.1
ptq_po2+_3,0.5363
ptq_po2+_4,0.7147
qat_lin_2,0.1
qat_lin_3,0.8863
qat_lin_4,0.9047
qat_lin+_2,0.1
qat_lin+_3,0.898
qat_lin+_4,0.9007
qat_po2_2,0.825
qat_po2_3,0.889
qat_po2_4,0.9038
qat_po2+_2,0.8391
qat_po2+_3,0.8876
qat_po2+_4,0.9023
