model,test_acc
full_precision,0.9258
ptq_lin_2,0.1965
ptq_lin_3,0.87
ptq_lin_4,0.9108
ptq_lin+_2,0.1173
ptq_lin+_3,0.8201
ptq_lin+_4,0.8984
ptq_po2_2,0.1087
ptq_po2_3,0.8599
ptq_po2_4,0.9052
ptq_po2+_2,0.1096
ptq_po2+_3,0.8772
ptq_po2+_4,0.8957
qat_lin_2,0.9272
qat_lin_3,0.9376
qat_lin_4,0.9355
qat_lin+_2,0.9258
qat_lin+_3,0.9317
qat_lin+_4,0.9357
qat_po2_2,0.9212
qat_po2_3,0.9346
qat_po2_4,0.9351
qat_po2+_2,0.9205
qat_po2+_3,0.9319
qat_po2+_4,0.9361
