model,test_acc
full_precision,0.9271
ptq_lin_2,0.2173
ptq_lin_3,0.8584
ptq_lin_4,0.9094
ptq_lin+_2,0.1637
ptq_lin+_3,0.8356
ptq_lin+_4,0.9067
ptq_po2_2,0.102
ptq_po2_3,0.7657
ptq_po2_4,0.8934
ptq_po2+_2,0.1017
ptq_po2+_3,0.8013
ptq_po2+_4,0.8815
qat_lin_2,0.9201
qat_lin_3,0.9287
qat_lin_4,0.9273
qat_lin+_2,0.9204
qat_lin+_3,0.9287
qat_lin+_4,0.9287
qat_po2_2,0.9093
qat_po2_3,0.9249
qat_po2_4,0.9286
qat_po2+_2,0.9088
qat_po2+_3,0.9266
qat_po2+_4,0.9271
