epoch,train_loss,train_acc,quantization_error
0,0.0409346435546875,0.9856,0.0005162825109437
1,0.0504978369140625,0.9819,0.0005258142482489
2,0.078890107421875,0.9716,0.0005337967886589
3,0.10628755859375,0.9621,0.0005470273899845
4,0.138988623046875,0.9499,0.0005590636865235
5,0.1519121875,0.9456,0.0005725401570089
6,0.1551853515625,0.9458,0.0005783882224932
7,0.17824326171875,0.9364,0.0005854477058164
8,0.1926775,0.9317,0.0006023238529451
9,0.209838046875,0.9245,0.0006181631470099
10,0.2182975390625,0.9212,0.0006367825553752
11,0.2255062890625,0.921,0.0006503505283035
12,0.2339042578125,0.9176,0.0006723019178025
13,0.2386859375,0.9155,0.000685529957991
14,0.24547517578125,0.9141,0.0007034244481474
15,0.25566150390625,0.9107,0.0007286183536052
16,0.27155701171875,0.9044,0.0007484511006623
17,0.2487873046875,0.9129,0.0007681428687646
18,0.25020794921875,0.9127,0.0007801225874572
19,0.2542742578125,0.9112,0.0007929133134894
20,0.25000548828125,0.9111,0.0008015682105906
21,0.2459499609375,0.9132,0.0008046890725381
22,0.2384144140625,0.9162,0.0008217094582505
23,0.2416453515625,0.9154,0.0008195805712603
24,0.241291640625,0.9165,0.0008219808223657
25,0.2341442578125,0.9178,0.0008287386735901
26,0.2361201953125,0.9175,0.000834539765492
27,0.23193576171875,0.9185,0.0008314179140143
28,0.23256099609375,0.9192,0.0008363935048691
29,0.2251605859375,0.9207,0.0008367534610442
30,0.231597734375,0.9179,0.0008387951529584
31,0.23086267578125,0.9187,0.0008328763069584
32,0.230834453125,0.9191,0.0008346605463884
33,0.2294444921875,0.9196,0.0008363137603737
34,0.2237216796875,0.9212,0.0008425844716839
35,0.2243152734375,0.9223,0.0008422283572144
36,0.2304185546875,0.9204,0.000836695136968
37,0.23046787109375,0.9197,0.0008424771949648
38,0.22892091796875,0.9196,0.0008511972846463
39,0.222974765625,0.9208,0.0008418898796662
40,0.22825568359375,0.92,0.0008416333002969
41,0.22319078125,0.9216,0.0008371141157113
42,0.2279351953125,0.9192,0.000849793490488
43,0.22271888671875,0.9208,0.0008326333481818
44,0.2244820703125,0.9217,0.000835471204482
45,0.21780994140625,0.922,0.0008422787068411
46,0.2300000390625,0.9189,0.0008497116505168
47,0.23021408203125,0.9202,0.0008497952367179
48,0.21816392578125,0.9235,0.0008580934954807
49,0.2178750390625,0.9248,0.0008455301867797
50,0.2179074609375,0.9228,0.0008378567872568
51,0.2245803125,0.9224,0.0008474339847452
52,0.22092642578125,0.9221,0.0008522328571416
53,0.2174079296875,0.9226,0.000846475653816
54,0.21491,0.9236,0.0008564292220398
55,0.21517908203125,0.925,0.0008420816157013
56,0.2207248828125,0.9224,0.0008459745440632
57,0.22120916015625,0.9223,0.000846934330184
58,0.222295859375,0.9217,0.0008531805360689
59,0.217094296875,0.925,0.0008473501657135
60,0.2112962890625,0.926,0.0008496515802107
61,0.215453671875,0.9241,0.0008494688663631
62,0.21984580078125,0.9228,0.000848249415867
63,0.2267265625,0.9211,0.0008503565913997
64,0.212828359375,0.925,0.000850080163218
65,0.21577380859375,0.925,0.0008335983729921
66,0.21193052734375,0.9259,0.000841771136038
67,0.222219140625,0.922,0.0008489885367453
68,0.21604875,0.9245,0.0008486853330396
69,0.226789140625,0.92,0.0008541572606191
70,0.21292232421875,0.9254,0.0008493698551319
71,0.219490234375,0.9227,0.0008430024026893
72,0.21103232421875,0.9253,0.0008473661146126
73,0.214281875,0.9237,0.0008452097536064
74,0.21896701171875,0.9228,0.0008345276000909
75,0.22208978515625,0.9232,0.0008539061527699
76,0.2153949609375,0.9244,0.0008563860901631
77,0.2115894140625,0.9255,0.0008455153438262
78,0.2149442578125,0.9249,0.0008461817051284
79,0.21560546875,0.9241,0.000851557997521
80,0.21876416015625,0.9225,0.0008510287734679
81,0.2133890234375,0.9257,0.0008550964994356
82,0.135770556640625,0.9532,0.0008571817888878
83,0.101197138671875,0.966,0.0008572807419113
84,0.090508330078125,0.97,0.0008584840688854
85,0.08385259765625,0.9722,0.0008557435357943
86,0.0765267578125,0.9742,0.0008557829423807
87,0.0737866650390625,0.9741,0.0008508069440722
88,0.0723059033203125,0.9751,0.0008477883529849
89,0.0671255224609375,0.9774,0.0008441666723228
90,0.0657525537109375,0.9781,0.0008405895205214
91,0.062847490234375,0.9783,0.0008320335764437
92,0.062906025390625,0.9783,0.0008307620300911
93,0.0592121728515625,0.9802,0.0008264412172138
94,0.058108681640625,0.9807,0.0008223611512221
95,0.0552435205078125,0.9813,0.0008215464185923
96,0.05348318359375,0.9818,0.000813259568531
97,0.0529600439453125,0.9827,0.0008046579314395
98,0.0518251416015625,0.9823,0.0007982468232512
99,0.0496747412109375,0.9833,0.0007985842530615
100,0.0493209619140625,0.9824,0.0007898565963841
101,0.048212177734375,0.9837,0.0007858976023271
102,0.0474381396484375,0.9844,0.0007860367186367
103,0.045914423828125,0.984,0.0007755936821922
104,0.0440479931640625,0.985,0.0007746754563413
105,0.043873486328125,0.9854,0.0007732110098004
106,0.043441875,0.985,0.0007701484137214
