epoch,train_loss,train_acc,quantization_error
0,0.021895986328125,0.9928,0.0010237476089969
1,0.0247638818359375,0.9913,0.0010350382653996
2,0.05186578125,0.9818,0.001046857680194
3,0.0738168359375,0.9742,0.0010683902073651
4,0.09143953125,0.9677,0.0010888068936765
5,0.111970419921875,0.9604,0.0011152923107147
6,0.12794720703125,0.955,0.0011376002803444
7,0.15062447265625,0.9471,0.0011773481965065
8,0.1599217578125,0.9439,0.0012192229041829
9,0.17406078125,0.9384,0.0012669548159465
10,0.1834866796875,0.9341,0.0013146460987627
11,0.203543125,0.9282,0.0013650609180331
12,0.2057408203125,0.9278,0.0014131834032014
13,0.2179090625,0.9228,0.00146977417171
14,0.2253886328125,0.9207,0.0015341038815677
15,0.22716412109375,0.9202,0.0015980238094925
16,0.24188779296875,0.9159,0.0016585130942985
17,0.22769384765625,0.921,0.0016991202719509
18,0.22389765625,0.9217,0.0017450104933232
19,0.22393771484375,0.9209,0.0017724257195368
20,0.22053607421875,0.9234,0.0018225644016638
21,0.21141431640625,0.9256,0.001820187550038
22,0.20814767578125,0.9264,0.0018512454116716
23,0.2085702734375,0.9274,0.0018653258448466
24,0.2082881640625,0.9274,0.0018698829226195
25,0.20444484375,0.9299,0.0019032694399356
26,0.20050583984375,0.9289,0.00189928652253
27,0.20734955078125,0.9271,0.0019152438035234
28,0.198467109375,0.93,0.0019229651661589
29,0.19590072265625,0.9316,0.0019150585867464
30,0.19803822265625,0.9309,0.0019233681960031
31,0.19340986328125,0.9321,0.0019421391189098
32,0.19211857421875,0.9324,0.0019223635317757
33,0.196749921875,0.9311,0.0019306425238028
34,0.1891443359375,0.9348,0.0019476980669423
35,0.19486658203125,0.9316,0.0019387444481253
36,0.19203328125,0.9345,0.001951131853275
37,0.19677865234375,0.9324,0.001942625734955
38,0.186853515625,0.9347,0.0019522542133927
39,0.189257265625,0.9337,0.0019484795629978
40,0.18745123046875,0.9339,0.0019331541843712
41,0.1904959375,0.9332,0.001940969727002
42,0.1908750390625,0.934,0.0019462123746052
43,0.19030037109375,0.9334,0.0019635274074971
44,0.188306484375,0.9346,0.0019600535742938
45,0.1908034765625,0.9332,0.0019590323790907
46,0.191818359375,0.9318,0.0019711239729076
47,0.1814685546875,0.9355,0.0019539732020348
48,0.19026658203125,0.934,0.0019783047027885
49,0.1828800390625,0.9356,0.0019619800150394
50,0.184495,0.9348,0.001957664033398
51,0.18798154296875,0.9347,0.0019519416382536
52,0.181808671875,0.9367,0.0019517631735652
53,0.18236884765625,0.9361,0.0019479702459648
54,0.18605505859375,0.9331,0.0019295540405437
55,0.1835691796875,0.9368,0.0019445762736722
56,0.1894840625,0.9338,0.001943014212884
57,0.1815603515625,0.9365,0.0019298238912597
58,0.1919016015625,0.9329,0.0019448552047833
59,0.1805037890625,0.9377,0.0019324400927871
60,0.17902708984375,0.9374,0.0019531578291207
61,0.1733434375,0.9397,0.0019355200929567
62,0.188399609375,0.9347,0.0019547045230865
63,0.17949369140625,0.9372,0.0019249622710049
64,0.176592890625,0.938,0.0019372494425624
65,0.18229845703125,0.9358,0.0019515455933287
66,0.1767674609375,0.9379,0.0019366655033081
67,0.1804073046875,0.9373,0.0019271004712209
68,0.1813480859375,0.9369,0.001930403872393
69,0.1880867578125,0.9337,0.0019355150870978
70,0.1770625390625,0.9387,0.0019187945872545
71,0.1754982421875,0.9393,0.0019403900951147
72,0.171789375,0.9406,0.0019148207502439
73,0.1736386328125,0.9386,0.0019342735176905
74,0.1790600390625,0.9374,0.0019317612750455
75,0.1797758203125,0.9354,0.0019330041250213
76,0.17824447265625,0.9374,0.0019599602092057
77,0.1763583984375,0.9378,0.0019532870501279
78,0.17250291015625,0.94,0.0019571331795305
79,0.186309921875,0.9345,0.0019645979627966
80,0.176781484375,0.9372,0.0019618480000644
81,0.18938580078125,0.9345,0.0019575951155275
82,0.099664365234375,0.9675,0.0019503976218402
83,0.067276240234375,0.9782,0.0019271178171038
84,0.0565372509765625,0.9815,0.0019218855304643
85,0.050930693359375,0.9834,0.0018892609514296
86,0.0435470361328125,0.986,0.0018767982255667
87,0.0416177734375,0.9867,0.0018526236526668
88,0.037954677734375,0.9876,0.0018409111071377
89,0.0361557861328125,0.9888,0.0018258094787597
90,0.033704248046875,0.9894,0.0017907540313899
91,0.0320051538085937,0.9899,0.0017784252995625
92,0.0309910815429687,0.9902,0.0017572727520018
93,0.0278622900390625,0.9914,0.0017417777562513
94,0.0247056567382812,0.9925,0.0017250302480533
95,0.025898857421875,0.9917,0.0017174311215057
96,0.0226617114257812,0.9931,0.0017011944437399
97,0.023406904296875,0.9924,0.0016866442747414
98,0.0228937548828125,0.9926,0.0016702321590855
99,0.02158185546875,0.993,0.0016613223124295
100,0.0204336547851562,0.9934,0.0016480293124914
101,0.0196057373046875,0.994,0.0016275629168376
102,0.0183053002929687,0.9945,0.0016204778803512
103,0.0182469458007812,0.9943,0.0016029826365411
104,0.0169164660644531,0.9949,0.0015858591068536
105,0.0176965979003906,0.9942,0.0015779010718688
106,0.0183837805175781,0.9941,0.0015740154776722
107,0.0159017504882812,0.9954,0.0015615104930475
108,0.017070634765625,0.9948,0.0015490177320316
109,0.0171897973632812,0.9945,0.00153890310321
110,0.014257138671875,0.9958,0.001532315975055
111,0.0140872766113281,0.9957,0.0015219569904729
112,0.0142953930664062,0.9958,0.0015084365149959
113,0.0159945178222656,0.9949,0.001499228994362
114,0.0142785327148437,0.9958,0.0014919647946953
115,0.0139666052246093,0.9957,0.0014847798738628
116,0.011992275390625,0.9965,0.0014715336728841
117,0.0143444055175781,0.9957,0.0014562776777893
118,0.0132127075195312,0.9958,0.0014494237257167
119,0.0128814599609375,0.9962,0.001438881503418
120,0.0116918872070312,0.9967,0.0014293026179075
121,0.0116967761230468,0.9966,0.0014199992874637
122,0.0123085473632812,0.996,0.0014122399734333
123,0.0108322216796875,0.9968,0.0014100244734436
124,0.0093938470458984,0.9976,0.0014086668379604
125,0.008020562133789,0.998,0.001407528296113
126,0.0077048828125,0.9981,0.0014083549613133
127,0.0077047863769531,0.9979,0.0014034222112968
128,0.0076805261230468,0.998,0.0014023843687027
129,0.0074555700683593,0.9982,0.0014041744871065
130,0.006602236328125,0.9984,0.0014042714610695
131,0.0070375329589843,0.9983,0.0013994965702295
132,0.00716462890625,0.9981,0.0013988780556246
133,0.0062293231201171,0.9988,0.001401123823598
134,0.0068709417724609,0.9984,0.0013983403332531
135,0.0068770208740234,0.9982,0.0013980767689645
136,0.0061296911621093,0.9988,0.0013941243523731
137,0.0062590832519531,0.9986,0.001394456019625
138,0.0066615704345703,0.9984,0.0013944843085482
139,0.0061465319824218,0.9986,0.0013946424005553
140,0.0060436846923828,0.9986,0.0013902869541198
141,0.0063221295166015,0.9983,0.00138795026578
142,0.0060546917724609,0.9986,0.0013905965024605
143,0.0061098449707031,0.9986,0.0013862983323633
144,0.0060104272460937,0.9987,0.0013846819056198
145,0.0062456262207031,0.9984,0.0013828842202201
146,0.0059484149169921,0.9987,0.0013794896658509
147,0.006528872680664,0.9984,0.0013804165646433
148,0.0061853466796875,0.9986,0.0013764870818704
149,0.0059693896484375,0.9987,0.0013744295574724
150,0.0061179455566406,0.9986,0.0013748862547799
151,0.00549443359375,0.9988,0.001375823514536
152,0.0056646893310546,0.9987,0.0013735013781115
153,0.0056418035888671,0.9987,0.0013738085981458
154,0.0061271478271484,0.9984,0.0013731515500694
155,0.0052671801757812,0.999,0.0013713511871173
156,0.0054886712646484,0.9988,0.00137231615372
157,0.0055500701904296,0.9988,0.0013726393226534
158,0.0059464038085937,0.9986,0.0013718904228881
159,0.0052842584228515,0.9989,0.0013696695677936
160,0.0056877026367187,0.9987,0.0013679205439984
161,0.0056060430908203,0.9989,0.0013665331061929
162,0.0057294512939453,0.9987,0.0013659241376444
163,0.0054850744628906,0.9989,0.0013650816399604
