epoch,train_loss,train_acc,test_acc,quantization_error
0,0.0490032373046875,"tensor(0.9835, device='cuda:0')",0.0017209553625434637
1,0.0532604248046875,"tensor(0.9817, device='cuda:0')",0.0017537262756377459
2,0.078806005859375,"tensor(0.9718, device='cuda:0')",0.0017943962011486292
3,0.09234087890625,"tensor(0.9667, device='cuda:0')",0.0018099899170920253
4,0.1151977734375,"tensor(0.9587, device='cuda:0')",0.0018427132163196802
5,0.13584125,"tensor(0.9514, device='cuda:0')",0.0019110437715426087
6,0.154852607421875,"tensor(0.9453, device='cuda:0')",0.001979418098926544
7,0.16273662109375,"tensor(0.9433, device='cuda:0')",0.0020393182057887316
8,0.18195796875,"tensor(0.9352, device='cuda:0')",0.002107173204421997
9,0.1933924609375,"tensor(0.9314, device='cuda:0')",0.002106691477820277
10,0.20865412109375,"tensor(0.9258, device='cuda:0')",0.002176110865548253
11,0.219388125,"tensor(0.9225, device='cuda:0')",0.002297274535521865
12,0.22912142578125,"tensor(0.9187, device='cuda:0')",0.0024249691050499678
13,0.23901814453125,"tensor(0.9169, device='cuda:0')",0.002507211174815893
14,0.2465922265625,"tensor(0.9140, device='cuda:0')",0.0025968255940824747
15,0.2527096484375,"tensor(0.9119, device='cuda:0')",0.0027237713802605867
16,0.2543166015625,"tensor(0.9111, device='cuda:0')",0.002773416694253683
17,0.2472656640625,"tensor(0.9137, device='cuda:0')",0.0028350295033305883
18,0.24326013671875,"tensor(0.9148, device='cuda:0')",0.0029758086893707514
19,0.2552405859375,"tensor(0.9115, device='cuda:0')",0.003045731922611594
20,0.24106447265625,"tensor(0.9162, device='cuda:0')",0.0030757812783122063
21,0.236227109375,"tensor(0.9174, device='cuda:0')",0.0031400700099766254
22,0.2384939453125,"tensor(0.9170, device='cuda:0')",0.0032082756515592337
23,0.23605103515625,"tensor(0.9171, device='cuda:0')",0.0031430271919816732
24,0.2292034765625,"tensor(0.9199, device='cuda:0')",0.003214634256437421
25,0.23226533203125,"tensor(0.9191, device='cuda:0')",0.0032078316435217857
26,0.229814453125,"tensor(0.9200, device='cuda:0')",0.0032462510280311108
27,0.22943216796875,"tensor(0.9184, device='cuda:0')",0.0032875463366508484
28,0.21589359375,"tensor(0.9245, device='cuda:0')",0.0033028617035597563
29,0.22291224609375,"tensor(0.9213, device='cuda:0')",0.00327491108328104
30,0.231253359375,"tensor(0.9176, device='cuda:0')",0.0033467034809291363
31,0.22394423828125,"tensor(0.9204, device='cuda:0')",0.003315566573292017
32,0.221791015625,"tensor(0.9221, device='cuda:0')",0.003363566240295768
33,0.22800935546875,"tensor(0.9204, device='cuda:0')",0.0034129051491618156
34,0.227547109375,"tensor(0.9201, device='cuda:0')",0.003416761988773942
35,0.2195836328125,"tensor(0.9231, device='cuda:0')",0.0033520818687975407
36,0.224558046875,"tensor(0.9207, device='cuda:0')",0.0034390222281217575
37,0.224499765625,"tensor(0.9214, device='cuda:0')",0.0034397635608911514
38,0.22042341796875,"tensor(0.9233, device='cuda:0')",0.003509669564664364
39,0.21826791015625,"tensor(0.9240, device='cuda:0')",0.0034861955791711807
40,0.21334953125,"tensor(0.9258, device='cuda:0')",0.0034587415866553783
41,0.21968884765625,"tensor(0.9233, device='cuda:0')",0.0034781552385538816
42,0.22189271484375,"tensor(0.9226, device='cuda:0')",0.003492734394967556
43,0.221350390625,"tensor(0.9215, device='cuda:0')",0.0035218996927142143
44,0.22040056640625,"tensor(0.9230, device='cuda:0')",0.003624963341280818
45,0.21546111328125,"tensor(0.9231, device='cuda:0')",0.0036406496074050665
46,0.22150525390625,"tensor(0.9208, device='cuda:0')",0.0036657839082181454
47,0.217784375,"tensor(0.9230, device='cuda:0')",0.003657182212918997
48,0.2121257421875,"tensor(0.9257, device='cuda:0')",0.00361620937474072
49,0.21469109375,"tensor(0.9245, device='cuda:0')",0.00366433197632432
50,0.215914765625,"tensor(0.9244, device='cuda:0')",0.003603958757594228
51,0.2179123828125,"tensor(0.9229, device='cuda:0')",0.0035072369500994682
52,0.2115130859375,"tensor(0.9262, device='cuda:0')",0.0035038667265325785
53,0.2082128125,"tensor(0.9272, device='cuda:0')",0.003476180834695697
54,0.220548828125,"tensor(0.9242, device='cuda:0')",0.0034570000134408474
55,0.20759748046875,"tensor(0.9283, device='cuda:0')",0.0034893599804490805
56,0.2139292578125,"tensor(0.9249, device='cuda:0')",0.0035883416421711445
57,0.2156423046875,"tensor(0.9249, device='cuda:0')",0.00357388355769217
58,0.20776744140625,"tensor(0.9280, device='cuda:0')",0.0035419866908341646
59,0.21096015625,"tensor(0.9265, device='cuda:0')",0.003429797478020191
60,0.2033161328125,"tensor(0.9282, device='cuda:0')",0.0034158467315137386
61,0.213246171875,"tensor(0.9266, device='cuda:0')",0.0033870902843773365
62,0.21202548828125,"tensor(0.9268, device='cuda:0')",0.003495489014312625
63,0.21309212890625,"tensor(0.9243, device='cuda:0')",0.003451800672337413
64,0.20862458984375,"tensor(0.9268, device='cuda:0')",0.0034211967140436172
65,0.20368705078125,"tensor(0.9276, device='cuda:0')",0.0034105645027011633
66,0.20574037109375,"tensor(0.9285, device='cuda:0')",0.003396495943889022
67,0.20199212890625,"tensor(0.9295, device='cuda:0')",0.0033429525792598724
68,0.2101705078125,"tensor(0.9272, device='cuda:0')",0.0034069321118295193
69,0.20701275390625,"tensor(0.9282, device='cuda:0')",0.0034572824370115995
