model,test_acc
full_precision,0.926
ptq_lin_2,0.2667
ptq_lin_3,0.8037
ptq_lin_4,0.9117
ptq_lin+_2,0.2255
ptq_lin+_3,0.7296
ptq_lin+_4,0.9064
ptq_po2_2,0.1
ptq_po2_3,0.8365
ptq_po2_4,0.8866
ptq_po2+_2,0.1
ptq_po2+_3,0.8802
ptq_po2+_4,0.9085
qat_lin_2,0.9222
qat_lin_3,0.9305
qat_lin_4,0.9321
qat_lin+_2,0.925
qat_lin+_3,0.9308
qat_lin+_4,0.9316
qat_po2_2,0.917
qat_po2_3,0.9315
qat_po2_4,0.929
qat_po2+_2,0.9183
qat_po2+_3,0.9295
qat_po2+_4,0.932
