epoch,train_loss,train_acc,quantization_error
0,0.0133754260253906,0.996,0.0002474065695423
1,0.020865966796875,0.9927,0.0002490819315426
2,0.04417396484375,0.9843,0.0002513566287234
3,0.0689470166015625,0.9757,0.0002539188426453
4,0.09315185546875,0.9676,0.0002593554090708
5,0.1064478125,0.9625,0.0002624971966724
6,0.12585951171875,0.9548,0.0002669102686922
7,0.13364552734375,0.9534,0.000272226112429
8,0.15232859375,0.9474,0.0002788344281725
9,0.1670961328125,0.9416,0.000285960646579
10,0.17590369140625,0.9372,0.0002980937715619
11,0.192315234375,0.9316,0.0003058051515836
12,0.2060333984375,0.9283,0.0003213951422367
13,0.20903330078125,0.9275,0.0003376430249772
14,0.21799791015625,0.9236,0.0003541157057043
15,0.2219247265625,0.9228,0.0003690745506901
16,0.2376659375,0.9169,0.0003880054573528
17,0.2302528125,0.9189,0.0004027286195196
18,0.21576955078125,0.9251,0.0004143847327213
19,0.217379765625,0.9232,0.0004189251631032
20,0.2178194140625,0.9231,0.0004285615577828
21,0.20504984375,0.9285,0.0004309274954721
22,0.20715462890625,0.9273,0.0004366161883808
23,0.2085142578125,0.9279,0.0004458048788364
24,0.20190654296875,0.9288,0.0004521074006333
25,0.2015765234375,0.9298,0.0004521987575571
26,0.20017619140625,0.9292,0.0004617791564669
27,0.2024851953125,0.9284,0.0004578097141347
28,0.1971005859375,0.9303,0.0004630766343325
29,0.198621484375,0.9304,0.0004602608387358
30,0.192278515625,0.9329,0.0004622992128133
31,0.1981269140625,0.9307,0.000465432240162
32,0.1861751953125,0.9353,0.0004675130476243
33,0.196329375,0.9315,0.0004678345285356
34,0.19210740234375,0.9324,0.0004717787960544
35,0.1883009765625,0.9339,0.000468371232273
36,0.185727578125,0.9351,0.0004695216193795
37,0.18874892578125,0.9336,0.0004771255480591
38,0.195320859375,0.9312,0.0004786413628607
39,0.186778984375,0.9354,0.0004793441912624
40,0.1848858984375,0.9351,0.0004762843309435
41,0.18476521484375,0.9352,0.0004776920250151
42,0.1899683984375,0.9337,0.0004764227487612
43,0.1889953125,0.9338,0.0004849882679991
44,0.1861134765625,0.935,0.0004857075982727
45,0.18938234375,0.9346,0.0004829568788409
46,0.18527404296875,0.9358,0.0004861708730459
