model,test_acc
full_precision,0.8749
ptq_lin_2,0.1608
ptq_lin_3,0.5555
ptq_lin_4,0.7879
ptq_lin+_2,0.1851
ptq_lin+_3,0.5496
ptq_lin+_4,0.7861
ptq_po2_2,0.1045
ptq_po2_3,0.6367
ptq_po2_4,0.7401
ptq_po2+_2,0.1007
ptq_po2+_3,0.6593
ptq_po2+_4,0.7341
qat_lin_2,0.1
qat_lin_3,0.8507
qat_lin_4,0.8308
qat_lin+_2,0.1
qat_lin+_3,0.7903
qat_lin+_4,0.8146
qat_po2_2,0.6407
qat_po2_3,0.7383
qat_po2_4,0.8307
qat_po2+_2,0.6171
qat_po2+_3,0.6302
qat_po2+_4,0.8505
