model,test_acc,quantization_error
full_precision,0.9271,0.0
ptq_lin_2,0.2173,0.0014338246546685696
ptq_lin_3,0.8584,0.0003716546343639493
ptq_lin_4,0.9094,0.00010053651931229979
ptq_lin+_2,0.1637,0.0013559517683461308
ptq_lin+_3,0.8356,0.00036192365223541856
ptq_lin+_4,0.9067,0.00010182765981880948
ptq_po2_2,0.102,0.02274411730468273
ptq_po2_3,0.7657,0.0006952575058676302
ptq_po2_4,0.8934,0.0002364917891100049
ptq_po2+_2,0.1017,0.022742442786693573
ptq_po2+_3,0.8013,0.0006766555598005652
ptq_po2+_4,0.8815,0.0002165464247809723
qat_lin_2,0.9201,0.008207706454857317
qat_lin_3,0.9287,0.0015754391628788375
qat_lin_4,0.9273,0.0003952444460038061
qat_lin+_2,0.9204,0.007911628577858158
qat_lin+_3,0.9287,0.001513425378617211
qat_lin+_4,0.9287,0.0004058809081026658
qat_po2_2,0.9093,0.08650034850054394
qat_po2_3,0.9249,0.002957545771695077
qat_po2_4,0.9286,0.0008019464642019037
qat_po2+_2,0.9088,0.08727584992785276
qat_po2+_3,0.9266,0.0031317592152711867
qat_po2+_4,0.9271,0.0007772713689496494
